M,profile,method,titer,mc_trials,seed,mean_objective,std_objective,training_runtime_s,final_lambda_max,final_mu_max,tail_stability_lambda,tail_stability_mu,avg_compute_violation,avg_channel_violation
6,uniform_wide,harmonic,100,3,0,81.239130109325,0.9797660514308651,0.21463082000082068,2.977922088665342,20.145097591630236,0.003621307044183286,0.028129135111118586,4.398466666666667,27.999899999999997
6,uniform_wide,sqrt,100,3,0,79.4962863205101,4.4723128349360115,0.2034511689998908,2.527794752601095,21.33113210364681,0.0521658518742243,0.4520540788667351,3.924633333333334,25.006499999999996
6,uniform_wide,normalized,100,3,0,80.1207965532828,3.850389102679052,0.19863792699834448,0.9376627610236973,5.291826786339779,0.004630694413690672,0.0230497870015888,6.2956166666666675,39.7537
6,uniform_wide,adagrad,100,3,0,77.87221725513363,3.5962076455492284,0.19482142299966654,7.302304231100482,7.93935918368447,0.03592059992129318,0.046259319733198655,1.1329,7.335000000000001
6,uniform_wide,adam,100,3,0,80.6160241940143,2.5442135315533605,0.1956745890001912,8.37863185733174,17.403709328673038,0.1494020059030975,0.13969852623469675,0.8087500000000002,3.894600000000001
6,uniform_low,harmonic,100,3,0,100.28222242749332,4.359057578690721,0.19462662899968564,2.7389594957127694,19.098585856144094,0.0019249275315478265,0.037531209099394176,4.407033333333334,28.010499999999997
6,uniform_low,sqrt,100,3,0,100.16450452177764,4.290040011302737,0.19758910600103263,2.029002924554001,18.37091454259911,0.009224954615853364,0.2536609261927515,3.916983333333334,24.917899999999996
6,uniform_low,normalized,100,3,0,102.18837758830368,4.383578100664887,0.19291023500045412,0.8297247970228592,4.822222449243194,0.0025863960339850803,0.021336011690085706,6.324933333333335,39.9296
6,uniform_low,adagrad,100,3,0,100.62504357040184,3.885826013631165,0.19313245200100937,6.720049219549835,8.04221727083786,0.03800768422624298,0.034570350138567976,0.9241333333333334,6.337000000000001
6,uniform_low,adam,100,3,0,99.95395215827928,4.196748248705765,0.21411149699997623,7.5611481992875635,18.440388299556183,0.1699540813187955,0.15686606562887356,0.9414666666666669,5.6968
6,bimodal_extreme,harmonic,100,3,0,101.76918514039971,7.618751877308699,0.1948549640001147,3.8818633029435277,22.987230731601457,0.0061648590231440205,0.015467874463750326,4.52195,28.741600000000002
6,bimodal_extreme,sqrt,100,3,0,111.60775306472071,19.443034640651838,0.1973497809995024,4.30246641063955,25.119743694051927,0.04454177389570733,0.34312969737756677,4.038033333333334,25.560299999999994
6,bimodal_extreme,normalized,100,3,0,106.00781130718424,4.25084578039429,0.19489287600117677,0.9391748826181229,5.362262094441447,0.003593825929406865,0.024084385251146943,6.369000000000002,40.1889
6,bimodal_extreme,adagrad,100,3,0,103.67219175447379,5.078355659980436,0.1957512470016809,8.830390092087903,8.569892841303467,0.04126471073793659,0.03841653832690648,1.3548666666666664,8.5096
6,bimodal_extreme,adam,100,3,0,107.91056872231538,18.87804061411739,0.20191557799989823,14.582339287109576,20.040640080895233,0.1258180155263022,0.10167849157632845,0.8561666666666666,4.013800000000001
10,uniform_wide,harmonic,100,3,0,115.70655479849614,2.5593790862860035,0.240200858001117,3.8998161030791767,47.94661892343471,0.006138123874583363,0.011643371842083264,4.03176,48.532
10,uniform_wide,sqrt,100,3,0,113.88399126024858,2.951648817564001,0.2401219220009807,1.2985441493596583,39.53641502590605,0.00485027320464369,0.14155487417835014,3.4906899999999994,42.54250000000001
10,uniform_wide,normalized,100,3,0,107.33927005084054,3.638522784480878,0.24277643999994325,0.5123010093752522,5.582572179572359,0.0023669144294806797,0.02659242938798818,6.335,73.24929999999999
10,uniform_wide,adagrad,100,3,0,109.0834209082131,1.59791915352823,0.24289525899985165,6.842473537118005,9.8762860059466,0.03962416705786067,0.04958279371251276,1.0181800000000003,16.736200000000004
10,uniform_wide,adam,100,3,0,110.34522599706008,1.104059772022403,0.24157307000132278,2.300128950041432,33.7653070511731,0.17850794277194,0.22606996095790477,0.5810700000000001,8.0189
10,uniform_low,harmonic,100,3,0,129.8607760054393,0.8991295450071545,0.23768583499986562,2.7649453545049725,47.67102038277836,0.007236180758273737,0.012969175480754146,4.038889999999999,48.50559999999999
10,uniform_low,sqrt,100,3,0,126.89211152686924,8.155549929869146,0.24128075199951127,1.6560534731088739,35.83444808184654,0.014977170082585917,0.06100063225275526,3.49111,42.4165
10,uniform_low,normalized,100,3,0,127.97527755429785,10.540487677975534,0.24001689199940301,0.4736965169860341,5.152884115813334,0.0020744851592172215,0.021635959939432355,6.36268,73.5221
10,uniform_low,adagrad,100,3,0,131.4986781353272,16.880662041392817,0.24028729300152918,6.233618986415656,10.020167805447306,0.04245267692884297,0.050334564839278034,0.8749899999999999,15.653599999999999
10,uniform_low,adam,100,3,0,125.40145437594418,8.64372605820987,0.23255102500115754,2.8639065461211315,32.13037261598092,0.20097303191649973,0.20200366181225865,0.59926,8.561399999999999
10,bimodal_extreme,harmonic,100,3,0,148.8886236742019,26.227605760362515,0.2357241730005626,3.497522022859196,47.46146229584103,0.013640154474552288,0.023323650591027888,4.10482,49.309799999999996
10,bimodal_extreme,sqrt,100,3,0,147.71308649526722,27.756100880767917,0.2311556569984532,1.7925995006489974,46.606733827903135,0.006602439275968556,0.31367114355171827,3.5867800000000005,43.4595
10,bimodal_extreme,normalized,100,3,0,141.39748797065945,19.035070444444962,0.23147423200134654,0.513057233071956,5.753831654688077,0.0014134463230046576,0.029482056609989045,6.363650000000002,73.5335
10,bimodal_extreme,adagrad,100,3,0,146.60766441778796,27.426779316690173,0.23026208900046186,8.193291810087432,10.111031564308961,0.034422314347641474,0.04600752588488804,1.2705999999999997,18.4434
10,bimodal_extreme,adam,100,3,0,144.5701251825452,26.836298333622324,0.2340571810000256,4.904460922331683,34.530744028887284,0.20034173392923277,0.2390089143613885,0.68407,8.7001
